County,Device ID,Batch,# of Ballots,Location
Crowley,2,1,25,BOX 1
Crowley,2,2,25,BOX 1
Crowley,2,3,25,BOV 1
Crowley,2,4,25,BOX 1
Crowley,2,5,25,BOX 1
Crowley,2,6,25,BOX 1
Crowley,2,7,25,BOX 1
Crowley,2,8,25,BOX 1
Crowley,2,9,25,BOX 1
Crowley,2,10,25,BOX 1
Crowley,2,11,25,BOX 1
Crowley,2,12,25,BOX 1
Crowley,2,13,25,BOX 1
Crowley,2,14,25,BOX 1
Crowley,5,1,25,BOX 2
Crowley,5,2,25,BOX 2
Crowley,5,3,25,BOX 2
Crowley,5,4,25,BOX 2
Crowley,5,5,25,BOX 2
Crowley,5,6,25,BOX 2
Crowley,5,7,25,BOX 2
Crowley,5,8,25,BOX 2
Crowley,5,9,25,BOX 2
Crowley,5,10,25,BOX 2
Crowley,5,11,25,BOX 2
Crowley,5,12,25,BOX 2
Crowley,5,13,25,BOX 2
Crowley,5,14,25,BOX 2
Crowley,5,15,25,BOX 2
Crowley,5,16,25,BOX 2
Crowley,5,17,25,BOX 2
Crowley,5,18,25,BOX 2
Crowley,5,19,10,BOX 2
Crowley,5,20,15,BOX 2
