HUERFANO,Device ID,Batch,# of Ballot Cards,Location
HUERFANO,1,1,25,Box 1
HUERFANO,1,2,25,Box 1
HUERFANO,1,3,25,Box 1
HUERFANO,1,4,25,Box 1
HUERFANO,1,5,25,Box 1
HUERFANO,1,6,25,Box 1
HUERFANO,1,7,25,Box 1
HUERFANO,1,8,25,Box 1
HUERFANO,1,9,25,Box 1
HUERFANO,1,10,25,Box 1
HUERFANO,1,11,25,Box 1
HUERFANO,1,12,25,Box 1
HUERFANO,1,13,25,Box 1
HUERFANO,1,14,25,Box 1
HUERFANO,1,15,25,Box 1
HUERFANO,1,16,25,Box 1
HUERFANO,1,17,25,Box 1
HUERFANO,1,18,25,Box 1
HUERFANO,1,19,25,Box 1
HUERFANO,1,20,25,Box 1
HUERFANO,1,21,25,Box 1
HUERFANO,1,22,25,Box 1
HUERFANO,1,23,25,Box 1
HUERFANO,1,24,25,Box 1
HUERFANO,1,25,25,Box 1
HUERFANO,1,26,25,Box 2
HUERFANO,1,27,25,Box 2
HUERFANO,1,28,25,Box 2
HUERFANO,1,29,25,Box 2
HUERFANO,1,30,25,Box 2
HUERFANO,1,31,25,Box 2
HUERFANO,1,32,25,Box 2
HUERFANO,1,33,25,Box 2
HUERFANO,1,34,25,Box 2
HUERFANO,1,35,25,Box 2
HUERFANO,1,36,25,Box 2
HUERFANO,1,37,25,Box 2
HUERFANO,1,38,25,Box 2
HUERFANO,1,39,25,Box 2
HUERFANO,1,40,25,Box 2
HUERFANO,1,41,25,Box 2
HUERFANO,1,42,25,Box 2
HUERFANO,1,43,25,Box 2
HUERFANO,1,44,25,Box 2
HUERFANO,1,45,25,Box 2
HUERFANO,1,46,25,Box 3
HUERFANO,1,47,25,Box 3
HUERFANO,1,48,25,Box 3
HUERFANO,1,49,25,Box 3
HUERFANO,1,50,24,Box 3
HUERFANO,1,51,25,Box 3
HUERFANO,1,52,25,Box 3
HUERFANO,1,53,25,Box 4
HUERFANO,1,54,25,Box 4
HUERFANO,1,55,25,Box 4
HUERFANO,1,56,24,Box 4
HUERFANO,1,57,25,Box 4
HUERFANO,1,58,25,Box 4
HUERFANO,1,59,25,Box 4
HUERFANO,1,60,25,Box 4
HUERFANO,1,61,25,Box 4
HUERFANO,1,62,25,Box 4
HUERFANO,1,63,25,Box 4
HUERFANO,1,64,25,Box 5
HUERFANO,1,65,25,Box 5
HUERFANO,1,66,25,Box 5
HUERFANO,1,67,25,Box 5
HUERFANO,1,68,25,Box 5
HUERFANO,1,69,25,Box 5
HUERFANO,1,70,25,Box 5
HUERFANO,1,71,25,Box 5
HUERFANO,1,72,25,Box 5
HUERFANO,1,73,25,Box 5
HUERFANO,1,74,25,Box 5
HUERFANO,1,75,25,Box 5
HUERFANO,1,76,25,Box 5
HUERFANO,1,77,25,Box 6
HUERFANO,1,78,25,Box 6
HUERFANO,1,79,25,Box 6
HUERFANO,1,80,25,Box6
HUERFANO,1,81,25,Box 6
HUERFANO,1,82,25,Box 6
HUERFANO,1,83,25,Box 6
HUERFANO,1,84,25,Box 6
HUERFANO,1,85,25,Box 6
HUERFANO,1,86,25,Box 6
HUERFANO,1,87,25,Box 6
HUERFANO,1,88,25, Box 6
HUERFANO,1,89,25,Box 6
HUERFANO,1,90,25,Box 6
HUERFANO,1,91,25,Box 6
HUERFANO,1,92,25,Box 6
HUERFANO,1,93,17,Box 6
HUERFANO,1,94,4,Box 6
