County,Tabulator ID,Batch,# Ballot Cards,Location
Washington,103,1,25,Box 1
Washington,103,2,22,Box 1
Washington,103,3,25,Box 1
Washington,103,4,24,Box 1
Washington,103,5,25,Box 1
Washington,103,6,24,Box 1
Washington,103,7,25,Box 1
Washington,103,8,25,Box 1
Washington,103,9,23,Box 1
Washington,103,10,25,Box 1
Washington,103,11,23,Box 1
Washington,103,12,25,Box 1
Washington,103,13,25,Box 1
Washington,103,14,25,Box 1
Washington,103,15,24,Box 1
Washington,103,16,23,Box 1
Washington,103,17,25,Box 1
Washington,103,18,25,Box 1
Washington,103,19,24,Box 1
Washington,103,20,24,Box 1
Washington,103,21,25,Box 1
Washington,103,22,24,Box 1
Washington,103,23,23,Box 1
Washington,103,24,24,Box 1
Washington,103,25,24,Box 1
Washington,103,26,25,Box 1
Washington,103,27,24,Box 1
Washington,103,28,23,Box 1
Washington,103,29,22,Box 1
Washington,103,30,25,Box 1
Washington,103,31,22,Box 1
Washington,103,32,24,Box 1
Washington,103,33,24,Box 1
Washington,103,34,25,Box 1
Washington,103,35,25,Box 1
Washington,103,36,23,Box 2
Washington,103,37,25,Box 2
Washington,103,38,24,Box 2
Washington,103,39,22,Box 2
Washington,103,40,23,Box 2
Washington,103,41,24,Box 2
Washington,103,42,25,Box 2
Washington,103,43,25,Box 2
Washington,103,44,21,Box 2
Washington,103,45,25,Box 2
Washington,103,46,25,Box 2
Washington,103,47,25,Box 2
Washington,103,48,24,Box 2
Washington,103,49,22,Box 2
Washington,103,50,25,Box 2
Washington,103,51,24,Box 2
Washington,103,52,22,Box 2
Washington,103,53,24,Box 2
Washington,103,54,24,Box 2
Washington,103,55,21,Box 2
Washington,103,56,22,Box 2
Washington,103,57,25,Box 2
Washington,103,58,24,Box 2
Washington,103,59,24,Box 2
Washington,103,60,25,Box 2
Washington,103,61,25,Box 2
Washington,103,62,23,Box 2
Washington,103,63,25,Box 2
Washington,103,64,25,Box 2
Washington,103,65,22,Box 2
Washington,103,66,25,Box 2
Washington,103,67,22,Box 2
Washington,103,68,23,Box 2
Washington,103,69,22,Box 2
Washington,103,70,25,Box 2
Washington,103,71,24,Box 2
Washington,103,72,24,Box 2
Washington,103,73,23,Box 2
Washington,103,74,24,Box 2
Washington,103,75,11,Box 2
Washington,103,76,60,Box 2
Washington,103,77,23,Box 3
Washington,103,78,22,Box 3
Washington,103,79,24,Box 3
Washington,103,80,24,Box 3
Washington,103,81,25,Box 3
Washington,103,82,21,Box 3
Washington,103,83,24,Box 3
Washington,103,84,24,Box 3
Washington,103,85,24,Box 3
Washington,103,86,24,Box 3
Washington,103,87,23,Box 3
Washington,103,88,24,Box 3
Washington,103,89,25,Box 3
Washington,103,90,22,Box 3
Washington,103,91,23,Box 3
Washington,103,92,23,Box 3
Washington,103,93,22,Box 3
Washington,103,94,25,Box 3
Washington,103,95,25,Box 3
Washington,103,96,25,Box 3
Washington,103,97,24,Box 3
Washington,103,98,25,Box 3
Washington,103,99,25,Box 3
Washington,103,100,24,Box 3
Washington,103,101,23,Box 3
Washington,103,102,24,Box 3
Washington,103,103,25,Box 3
Washington,103,104,22,Box 3
Washington,103,105,22,Box 3
Washington,103,106,23,Box 3
Washington,103,107,23,Box 3
Washington,103,108,23,Box 3
Washington,103,109,27,Box 3
Washington,103,110,103,Box 3
Washington,103,111,70,Box 3
Washington,103,112,28,Box 3
Washington,103,113,14,Box 3
